Year,Make,Model,Trim,Drivetrain,Segment,Certified,Certified Program,Stock Number,VIN,Risk Light,Photo Count,Key Photo,DMS Status,Key Information,Lot Location,Age,Leads (last 7 days),Leads (Daily Avg Last 7 Days),Leads (Since Last Reprice),Leads (All),Mileage,Objective,Color,Price,Last Reprice,MSRP,Unit Cost,Est. Profit,ACV Wholesale,ACV MAX Retail,% to Market,Cost to Market,Market Rank (Matching),Market Listings (Matching),Market Rank (Overall),Market Listings (Overall),MDS (Overall),MDS (Matching),Proof point: Market,Proof point: MSRP,Syndication,CarGurus CTR,CarGurus SRP Views,CarGurus VDP Views,Book value: MMR,MMR - Cost,Book value: Galves,Water,Proof point: J.D. Power,Proof point: KBB
2020,Mercedes-Benz,E-Class,E 350,AWD,Sedan,No,"",B34582A,W1KZF8EB8LA819986,Yellow,19,https://cdn.max.auto/102612/W1KZF8EB8LA819986/686ebffc12b3a6e2b7509a90.jpg,S,Oil Change,"",104,0,0,0,7,"80,853",Wholesale,White,$0.00,2025-09-25T07:16:00.000Z,"","$23,633.90","","$19,675.00","$23,500.00","","",0,11,0,237,36,45,"","",On,0.0%,0,0,"$19,200.00","-$4,433.90","$18,650.00","-$4,983.90","",""
2025,BMW,X3,30 xDrive,AWD,SUV,No,"",B35278,5UX53GP05S9093641,Green,12,https://cdn.max.auto/102612/5UX53GP05S9093641/686d5c37d5344e01a0ea8004.jpg,S,,"",106,1,0.1,0,10,6,Retail,Gray,"$53,685.00","","$53,685.00","$51,030.70","$2,654.30","","",96%,92%,19,81,27,115,22,29,"$1,984.00 below",$0.00 below,On,3.6%,"1,964",70,"","","","","",""
2024,BMW,X7,M60i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),B35039A,5UX33EM00R9U40562,Green,20,https://cdn.max.auto/102612/5UX33EM00R9U40562/686d4b4112b3a6e2b7e3db93.jpg,S,Oil Change|BMW CPO,"",103,0,0,1,11,"19,562",Other,Blue,$0.00,2025-10-01T10:18:00.000Z,"","$86,677.54","","$84,400.00","","","",0,13,0,606,51,24,"","",On,5.6%,"46,305","2,590","$77,300.00","-$9,377.54","$78,700.00","-$7,977.54","",""
2025,BMW,X1,xDrive28i,AWD,SUV,No,"",B35317,WBX73EF01S5376824,Green,13,https://cdn.max.auto/102612/WBX73EF01S5376824/686d4b5812b3a6e2b7e4117d.jpg,S,,"",103,0,0,0,3,6,Retail,Gray,"$47,895.00","","$47,895.00","$45,495.00","$2,400.00","","",104%,99%,53,79,72,104,34,46,"$1,729.00 above",$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,X5,M60i,AWD,SUV,No,"",B35295,5UX33EU03T9096524,Green,9,https://cdn.max.auto/102612/5UX33EU03T9096524/6871192412b3a6e2b7263121.jpg,S,,"",104,2,0.3,0,14,12,Retail,Black,"$111,170.00","","$111,170.00","$104,345.00","$6,825.00","","",109%,102%,25,25,347,347,53,42,"$9,030.00 above",$0.00 below,On,10.3%,"14,710","1,522","","","","","",""
2025,BMW,X3,30 xDrive,AWD,SUV,No,"",B35308,5UX53GP0XS9099192,Green,9,https://cdn.max.auto/102612/5UX53GP0XS9099192/68810ad0f5f7c7d4d598f2a3.jpg,S,,"",101,0,0,0,5,7,Retail,Blue,"$56,005.00","","$56,005.00","$53,057.00","$2,948.00","","",101%,95%,36,81,48,115,22,29,$336.00 above,$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,X7,M60i,AWD,SUV,No,"",B35322,5UX33EM06T9105135,Green,14,https://cdn.max.auto/102612/5UX33EM06T9105135/686fdcc712b3a6e2b77d9b1d.jpg,S,,"",101,0,0,0,4,6,Retail,White,"$126,280.00","","$126,280.00","$118,395.00","$7,885.00","","",104%,97%,13,13,112,112,56,78,"$4,695.00 above",$0.00 below,On,6.5%,"6,487",419,"","","","","",""
2019,BMW,3 Series,330i xDrive,AWD,Sedan,No,"",B34596B,WBA5R7C57KAE82667,Yellow,20,https://cdn.max.auto/102612/WBA5R7C57KAE82667/689e4077425f7fc86cc25878.jpg,S,Oil Change,"",94,0,0,0,0,"55,244",Wholesale,Gray,$0.00,2025-08-18T12:51:00.000Z,"","$19,058.50","","$20,400.00","$23,700.00","","",0,10,0,91,29,18,"","",Off,0.0%,0,0,"$20,900.00","$1,841.50","$20,850.00","$1,791.50","",""
2025,BMW,X3,30 xDrive,AWD,SUV,No,"",B35336,5UX53GP09S9108982,Green,9,https://cdn.max.auto/102612/5UX53GP09S9108982/68810ad1f5f7c7d4d598f8de.jpg,S,,"",91,1,0.1,0,5,6,Retail,Gray,"$54,905.00","","$54,905.00","$52,015.00","$2,890.00","","",99%,93%,30,81,41,115,22,29,$764.00 below,$0.00 below,On,0.0%,0,0,"","","","","",""
2025,BMW,X3,30 xDrive,AWD,SUV,No,"",B35348,5UX53GP0XS9112538,Green,9,https://cdn.max.auto/102612/5UX53GP0XS9112538/68810ad2f5f7c7d4d599030b.jpg,S,,"",92,0,0,0,13,5,Retail,Gray,"$54,305.00","","$54,305.00","$51,477.00","$2,828.00","","",98%,92%,22,81,31,115,22,29,"$1,364.00 below",$0.00 below,On,6.1%,311,19,"","","","","",""
