Year,Make,Model,Trim,Drivetrain,Segment,Certified,Certified Program,Stock Number,VIN,Risk Light,Photo Count,Key Photo,DMS Status,Key Information,Lot Location,Age,Leads (last 7 days),Leads (Daily Avg Last 7 Days),Leads (Since Last Reprice),Leads (All),Mileage,Objective,Color,Price,Last Reprice,MSRP,Unit Cost,Est. Profit,ACV Wholesale,ACV MAX Retail,% to Market,Cost to Market,Market Rank (Matching),Market Listings (Matching),Market Rank (Overall),Market Listings (Overall),MDS (Overall),MDS (Matching),Proof point: Market,Proof point: MSRP,Syndication,CarGurus CTR,CarGurus SRP Views,CarGurus VDP Views,Book value: MMR,MMR - Cost,Book value: Galves,Water,Proof point: J.D. Power,Proof point: KBB
2026,BMW,X1,xDrive28i,AWD,SUV,No,"",B35514,WBX73EF07T5400531,Green,11,https://cdn.max.auto/102612/WBX73EF07T5400531/68a634238c600ad0fd50b750.jpg,S,,"",56,0,0,0,0,6,Retail,Silver,"$46,755.00","","$46,755.00","$44,457.00","$2,298.00","","",95%,91%,7,126,8,169,190,298,"$2,234.00 below",$0.00 below,On,0.0%,0,0,"","","","","",""
2023,BMW,X7,xDrive40i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),B35082A,5UX23EM05P9R25630,Green,20,https://cdn.max.auto/102612/5UX23EM05P9R25630/68a757d78c600ad0fd2f1d87.jpg,S,Oil Change|BMW CPO,"",59,1,0.1,1,1,"29,360",Retail,White,"$64,998.00",2025-10-06T09:14:00.000Z,"","$63,216.44","$1,781.56","$55,575.00","$64,450.00",98%,95%,5,15,37,59,63,41,"$1,652.00 below","",On,3.5%,"8,832",312,"$54,800.00","-$8,416.44","$54,350.00","-$8,866.44","$7,352.00 below","$2,847.00 below"
2025,BMW,X1,xDrive28i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),BL34022,WBX73EF05S5082617,Green,20,https://cdn.max.auto/102612/WBX73EF05S5082617/68a3949a8c600ad0fd06da3b.jpg,S,Oil Change|BMW CPO,"",59,0,0,0,0,"10,080",Retail,White,"$40,798.00",2025-10-13T07:20:00.000Z,"","$35,809.42","$4,988.58","$34,700.00","$40,200.00",97%,86%,7,20,96,644,37,49,"$1,074.00 below","",On,2.3%,"10,107",232,"$35,300.00",-$509.42,"$32,650.00","-$3,159.42","$2,877.00 below","$2,498.00 above"
2025,BMW,X1,xDrive28i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),BL34362,WBX73EF05S5145814,Green,20,https://cdn.max.auto/102612/WBX73EF05S5145814/68a378818c600ad0fd9c59f7.jpg,S,Oil Change|BMW CPO,"",59,1,0.1,0,2,"8,579",Retail,Silver,"$40,498.00",2025-10-13T07:23:00.000Z,"","$36,200.02","$4,297.98","$35,200.00","$40,850.00",96%,86%,1,10,9,44,57,64,"$1,819.00 below","",On,1.2%,"11,107",131,"$35,300.00",-$900.02,"$31,000.00","-$5,200.02","$3,652.00 below","$2,052.00 above"
2025,BMW,5 Series,530i xDrive,AWD,Sedan,Yes,BMW Certified Pre-Owned (CPOV),BL34462,WBA53FJ06SCU14476,Green,20,https://cdn.max.auto/102612/WBA53FJ06SCU14476/68a3b0fa8c600ad0fd7c3e8b.jpg,S,Oil Change|BMW CPO,"",59,0,0,0,2,"8,112",Retail,White,"$55,998.00",2025-10-06T14:02:00.000Z,"","$51,408.55","$4,589.45","$46,075.00","$55,600.00",96%,88%,7,23,49,161,87,148,"$2,545.00 below","",On,1.2%,"22,146",262,"$44,300.00","-$7,108.55","$41,500.00","-$9,908.55","$2,473.00 above",""
2026,BMW,iX,xDrive60,AWD,SUV,No,"",B35528,WB553CF01TCW07738,Green,13,https://cdn.max.auto/102612/WB553CF01TCW07738/68a897dd8c600ad0fd7dd313.jpg,S,,"",56,0,0,0,2,7,Retail,Black,"$105,945.00","","$105,945.00","$99,645.70","$6,299.30","","",106%,100%,9,9,23,23,26,43,"$5,852.00 above",$0.00 below,On,10.2%,"1,153",118,"","","","","",""
2026,BMW,5 Series,530i xDrive,AWD,Sedan,No,"",B35526,WBA53FJ01TCV97383,Green,13,https://cdn.max.auto/102612/WBA53FJ01TCV97383/68a774148c600ad0fd9a6672.jpg,S,,"",56,0,0,0,1,6,Retail,Blue,"$71,910.00","","$71,910.00","$67,847.00","$4,063.00","","",108%,102%,22,22,50,70,58,66,"$5,446.00 above",$0.00 below,On,2.1%,279,6,"","","","","",""
2022,BMW,X3,xDrive30i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),B35512A,WBX57DP04NN171944,Green,20,https://cdn.max.auto/102612/WBX57DP04NN171944/68ae07e9085a2841a9ffd9e4.jpg,S,Oil Change|BMW CPO,"",56,1,0.1,1,4,"46,531",Retail,Gray,"$32,498.00",2025-10-08T10:32:00.000Z,"","$34,355.33","-$1,857.33","$26,950.00","$32,275.00",99%,105%,6,13,722,1428,34,62,$355.00 below,"",On,0.8%,"5,144",42,"$26,700.00","-$7,655.33","$25,450.00","-$8,905.33",$827.00 below,$186.00 above
2024,Mazda,CX-90 PHEV,Premium Plus,AWD,SUV,No,"",B35488A,JM3KKEHA8R1115621,Yellow,20,https://cdn.max.auto/102612/JM3KKEHA8R1115621/68a5dc3e8c600ad0fd3ab8bb.jpg,S,Oil Change,"",59,0,0,0,0,"16,666",Retail,Blue,"$37,998.00",2025-10-09T06:46:00.000Z,"","$38,711.61",-$713.61,"$34,625.00","$38,775.00",96%,98%,2,9,18,27,55,81,"$1,408.00 below","",On,1.7%,"16,863",279,"$31,700.00","-$7,011.61","$30,400.00","-$8,311.61","$3,952.00 below","$2,591.00 above"
2021,Toyota,RAV4,XLE,AWD,SUV,No,"",B35438A,2T3P1RFV7MC144862,Yellow,20,https://cdn.max.auto/102612/2T3P1RFV7MC144862/68a8ec0d823a478e0c98cf9e.jpg,S,Oil Change,"",58,0,0,0,1,"73,340",Retail,Blue,"$24,698.00",2025-10-13T07:22:00.000Z,"","$25,821.51","-$1,123.51","$21,675.00","$24,475.00",96%,100%,4,19,17,104,41,66,"$1,116.00 below","",On,1.5%,"4,909",75,"$21,300.00","-$4,521.51","$18,625.00","-$7,196.51","$3,977.00 below","$1,391.00 above"
2026,BMW,X3,30 xDrive,AWD,SUV,No,"",B35532,5UX53GP02T9154123,Green,11,https://cdn.max.auto/102612/5UX53GP02T9154123/68a510298c600ad0fd94a667.jpg,S,,"",56,0,0,0,3,5,Retail,White,"$56,690.00","","$56,690.00","$53,697.00","$2,993.00","","",98%,93%,141,352,175,477,180,258,$914.00 below,$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,X3,30 xDrive,AWD,SUV,No,"",B35531,5UX53GP04T9152230,Green,11,https://cdn.max.auto/102612/5UX53GP04T9152230/68b106d6085a2841a9697675.jpg,S,,"",56,0,0,0,0,6,Retail,Black,"$57,340.00","","$57,340.00","$54,302.00","$3,038.00","","",100%,94%,176,352,216,477,180,258,$264.00 below,$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,i5,xDrive40,AWD,Sedan,No,"",B35536,WBY33HG00TCW06988,Green,11,https://cdn.max.auto/102612/WBY33HG00TCW06988/68ad002a085a2841a9c8d9bf.jpg,S,,"",55,0,0,0,2,7,Retail,White,"$81,360.00","","$81,360.00","$76,642.00","$4,718.00","","",104%,98%,7,7,7,7,23,42,"$3,166.00 above",$0.00 below,On,3.3%,418,14,"","","","","",""
2024,BMW,X5,xDrive50e,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),B35320A,5UX43EU00R9U35267,Green,20,https://cdn.max.auto/102612/5UX43EU00R9U35267/68ab5ddc823a478e0c4a782a.jpg,S,,"",55,2,0.3,1,5,"33,652",Retail,Black,"$61,998.00",2025-10-09T06:47:00.000Z,"","$60,015.78","$1,982.22","$51,500.00","$60,300.00","","","","","","","","","","",On,2.8%,"13,576",378,"$56,400.00","-$3,615.78","$49,475.00","-$10,540.78","$2,552.00 below",$724.00 above
2026,BMW,X1,xDrive28i,AWD,SUV,No,"",B35515,WBX73EF08T5412560,Green,11,https://cdn.max.auto/102612/WBX73EF08T5412560/68a5a3fd8c600ad0fda42e0b.jpg,S,,"",56,0,0,0,1,7,Retail,Silver,"$46,755.00","","$46,755.00","$44,457.00","$2,298.00","","",95%,91%,7,126,8,169,190,298,"$2,234.00 below",$0.00 below,On,0.0%,0,0,"","","","","",""
2025,BMW,i5,xDrive40,AWD,Sedan,Yes,BMW Certified Pre-Owned (CPOV),BL34203,WBY13HG06SCT12212,Green,20,https://cdn.max.auto/102612/WBY13HG06SCT12212/68a757d88c600ad0fd2f250a.jpg,S,Oil Change|BMW CPO,"",55,0,0,0,5,"4,315",Retail,Green,"$62,998.00",2025-10-09T06:47:00.000Z,"","$56,410.43","$6,587.57","$46,850.00","$64,825.00",93%,83%,2,7,30,152,42,37,"$4,718.00 below","",On,3.7%,"11,276",415,"$50,900.00","-$5,510.43","$48,250.00","-$8,160.43",$798.00 above,""
2025,BMW,X1,xDrive28i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),BL34258,WBX73EF09S5122259,Green,20,https://cdn.max.auto/102612/WBX73EF09S5122259/68a757d58c600ad0fd2f0ffd.jpg,S,Oil Change|BMW CPO,"",54,1,0.1,1,8,"6,703",Sold,White,"$40,998.00",2025-10-10T06:28:00.000Z,"","$36,412.37","$4,585.63","$35,825.00","$41,200.00",98%,87%,2,5,30,248,45,23,$880.00 below,"",On,1.9%,"21,155",402,"$35,900.00",-$512.37,"$32,250.00","-$4,162.37","$3,152.00 below","$2,363.00 above"
2025,BMW,X1,xDrive28i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),BL34298,WBX73EF08S5138243,Green,20,https://cdn.max.auto/102612/WBX73EF08S5138243/68a790148c600ad0fd0451ed.jpg,S,Oil Change|BMW CPO,"",54,0,0,0,2,"7,672",Retail,Gray,"$40,998.00",2025-10-10T06:29:00.000Z,"","$38,918.92","$2,079.08","$35,450.00","$40,975.00",98%,93%,2,7,68,422,35,26,$926.00 below,"",On,0.9%,"7,559",70,"$35,900.00","-$3,018.92","$32,250.00","-$6,668.92","$3,152.00 below","$2,457.00 above"
2026,BMW,X3,30 xDrive,AWD,SUV,No,"",B35552,5UX53GP05T9160157,Green,13,https://cdn.max.auto/102612/5UX53GP05T9160157/68a757d78c600ad0fd2f1c63.jpg,S,,"",53,0,0,0,1,4,Retail,Gray,"$61,440.00","","$61,440.00","$58,112.00","$3,328.00","","",107%,101%,323,352,405,477,180,258,"$3,836.00 above",$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,X5,xDrive50e,AWD,SUV,No,"",B35546,5UX43EU01T9160967,Green,12,https://cdn.max.auto/102612/5UX43EU01T9160967/68b49872085a2841a92d4458.jpg,S,,"",53,0,0,0,7,8,Retail,Black,"$85,075.00","","$85,075.00","$80,092.00","$4,983.00","","",102%,96%,25,34,294,347,53,46,"$1,709.00 above",$0.00 below,On,3.4%,408,14,"","","","","",""
2026,BMW,4 Series,430i xDrive,AWD,Convertible,No,"",B35549,WBA53DB03TCW15403,Red,11,https://cdn.max.auto/102612/WBA53DB03TCW15403/68ad0029085a2841a9c8d724.jpg,S,,"",53,1,0.1,0,5,10,Retail,Blue,"$73,110.00","","$73,110.00","$69,105.70","$4,004.30","","",105%,99%,14,15,28,36,55,64,"$3,182.00 above",$0.00 below,On,9.2%,"2,518",231,"","","","","",""
2026,BMW,X1,xDrive28i,AWD,SUV,No,"",B35550,WBX73EF02T5417656,Green,11,https://cdn.max.auto/102612/WBX73EF02T5417656/68a8ec13823a478e0c98e08d.jpg,S,,"",53,0,0,0,2,5,Retail,Gray,"$48,305.00","","$48,305.00","$45,897.00","$2,408.00","","",99%,94%,55,126,64,169,190,298,$684.00 below,$0.00 below,On,0.0%,0,0,"","","","","",""
2025,BMW,5 Series,530i xDrive,AWD,Sedan,Yes,BMW Certified Pre-Owned (CPOV),BL34545,WBA53FJ05SCU15554,Green,20,https://cdn.max.auto/102612/WBA53FJ05SCU15554/68a8ec0e823a478e0c98d1cd.jpg,S,Oil Change|BMW CPO,"",53,0,0,0,2,"8,005",Retail,Blue,"$56,998.00",2025-10-11T09:05:00.000Z,"","$56,029.86",$968.14,"$46,075.00","$55,625.00",100%,98%,11,17,34,68,79,81,$117.00 below,"",On,0.9%,"25,751",235,"$43,600.00","-$12,429.86","$41,800.00","-$14,229.86","$3,473.00 above",""
2025,BMW,X1,xDrive28i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),BL34347,WBX73EF05S5138023,Green,20,https://cdn.max.auto/102612/WBX73EF05S5138023/68a8b3e28c600ad0fdd35e8c.jpg,S,Oil Change|BMW CPO,"",53,0,0,0,1,"6,982",Retail,Blue,"$40,998.00",2025-10-11T09:06:00.000Z,"","$36,541.65","$4,456.35","$35,700.00","$40,975.00",97%,87%,1,16,2,29,119,96,"$1,160.00 below","",On,1.9%,"13,837",270,"$35,800.00",-$741.65,"$31,000.00","-$5,541.65","$3,152.00 below","$2,363.00 above"
2025,BMW,3 Series,330i xDrive,AWD,Sedan,Yes,BMW Certified Pre-Owned (CPOV),BL34255,3MW89CW01S8F12132,Green,20,https://cdn.max.auto/102612/3MW89CW01S8F12132/68a7ac3d8c600ad0fd63c022.jpg,S,Oil Change|BMW CPO,"",53,1,0.1,1,4,"7,272",Retail,Black,"$44,998.00",2025-10-02T09:12:00.000Z,"","$40,965.98","$4,032.02","$36,250.00","$45,850.00",99%,90%,17,33,18,84,35,87,$461.00 below,"",On,1.0%,"21,681",210,"$39,600.00","-$1,365.98","$34,000.00","-$6,965.98","$2,227.00 below",$983.00 below
2026,BMW,X3,30 xDrive,AWD,SUV,No,"",B35562,5UX53GP05T9153841,Green,11,https://cdn.max.auto/102612/5UX53GP05T9153841/68ad0029085a2841a9c8d706.jpg,S,,"",53,0,0,0,1,30,Retail,Red,"$57,340.00","","$57,340.00","$54,302.00","$3,038.00","","",100%,94%,176,352,216,477,180,258,$264.00 below,$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,X1,xDrive28i,AWD,SUV,No,"",B35543,WBX73EF00T5417834,Green,11,https://cdn.max.auto/102612/WBX73EF00T5417834/68a8ec0d823a478e0c98cf90.jpg,S,,"",53,0,0,0,0,16,Retail,Silver,"$47,355.00","","$47,355.00","$45,017.00","$2,338.00","","",97%,92%,19,126,23,169,190,298,"$1,634.00 below",$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,X1,xDrive28i,AWD,SUV,No,"",B35539,WBX73EF02T5413414,Green,11,https://cdn.max.auto/102612/WBX73EF02T5413414/68ace09e085a2841a94b1f0f.jpg,S,,"",53,0,0,0,0,8,Retail,Silver,"$49,055.00","","$49,055.00","$46,597.00","$2,458.00","","",100%,95%,72,126,89,169,190,298,$66.00 above,$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,X1,xDrive28i,AWD,SUV,No,"",B35561,WBX73EF02T5415602,Green,11,https://cdn.max.auto/102612/WBX73EF02T5415602/68b358a2085a2841a9f7d643.jpg,S,,"",52,0,0,0,0,8,Retail,White,"$47,105.00","","$47,105.00","$44,782.00","$2,323.00","","",96%,91%,14,126,16,169,190,298,"$1,884.00 below",$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,X1,xDrive28i,AWD,SUV,No,"",B35559,WBX73EF07T5417636,Green,13,https://cdn.max.auto/102612/WBX73EF07T5417636/68ae27b5085a2841a971a750.jpg,S,,"",52,0,0,0,0,6,Retail,White,"$49,255.00","","$49,255.00","$46,782.00","$2,473.00","","",101%,95%,78,126,98,169,190,298,$266.00 above,$0.00 below,On,0.0%,0,0,"","","","","",""
2022,Jeep,Grand Cherokee,Limited,4WD,SUV,No,"",B35442A,1C4RJHBG9N8602983,Red,20,https://cdn.max.auto/102612/1C4RJHBG9N8602983/68bb3a77085a2841a9bdaa02.jpg,S,Oil Change,"",52,0,0,0,0,"44,837",Retail,Gray,"$28,998.00",2025-10-10T07:48:00.000Z,"","$28,772.73",$225.27,"$26,000.00","$29,625.00",96%,96%,10,20,195,1218,68,58,"$1,075.00 below","",On,4.7%,"2,231",105,"$26,100.00","-$2,672.73","$26,800.00","-$1,972.73","$1,927.00 below",$321.00 above
2023,BMW,X7,xDrive40i,AWD,SUV,No,"",B35152A,5UX23EM09P9R99388,Green,20,https://cdn.max.auto/102612/5UX23EM09P9R99388/68b1fc67085a2841a90cd478.jpg,S,Oil Change,"",53,0,0,0,0,"60,856",Retail,Black,"$53,998.00",2025-10-10T07:48:00.000Z,"","$52,493.01","$1,504.99","$43,825.00","$52,250.00",100%,97%,8,15,12,228,66,135,$32.00 above,"",On,0.9%,"6,879",63,"$44,700.00","-$7,793.01","$44,000.00","-$8,493.01","$11,052.00 below","$4,278.00 below"
2025,BMW,X1,xDrive28i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),BL34308,WBX73EF00S5138561,Green,20,https://cdn.max.auto/102612/WBX73EF00S5138561/68ab5de4823a478e0c4b3baa.jpg,S,Oil Change|BMW CPO,"",52,0,0,1,5,"8,345",Retail,Blue,"$41,498.00",2025-09-22T07:08:00.000Z,"","$37,410.55","$4,087.45","$35,300.00","$40,850.00",98%,89%,5,10,15,43,55,60,$769.00 below,"",On,0.0%,0,0,"$35,300.00","-$2,110.55","$31,000.00","-$6,410.55","$2,652.00 below","$3,004.00 above"
2025,BMW,X2,xDrive28i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),BL34370,WBX63GM02S5142668,Green,20,https://cdn.max.auto/102612/WBX63GM02S5142668/68ace08c085a2841a94b0602.jpg,S,Oil Change|BMW CPO,"",52,2,0.3,0,4,"6,312",Retail,Gray,"$42,898.00",2025-10-13T07:17:00.000Z,"","$40,550.10","$2,347.90","$37,025.00","$43,700.00",98%,92%,6,21,89,223,52,70,"$1,015.00 below","",On,3.4%,"16,915",583,"$37,300.00","-$3,250.10","$33,400.00","-$7,150.10",$702.00 below,"$3,706.00 above"
2025,BMW,X2,xDrive28i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),BL34489,WBX63GM02S5165674,Green,20,https://cdn.max.auto/102612/WBX63GM02S5165674/68adcfb7085a2841a939ae1d.jpg,S,Oil Change|BMW CPO,"",52,0,0,0,0,"6,611",Retail,Gray,"$44,998.00",2025-10-02T09:44:00.000Z,"","$42,507.74","$2,490.26","$36,900.00","$43,650.00",102%,96%,5,6,203,389,47,42,$901.00 above,"",On,1.1%,"11,018",119,"$37,600.00","-$4,907.74","$33,500.00","-$9,007.74",$702.00 below,"$5,845.00 above"
2026,BMW,X3,30 xDrive,AWD,SUV,No,"",B35574,5UX53GP0XT9167864,Green,0,"",S,,"",47,0,0,0,0,3,Retail,Black,"$57,340.00","","$57,340.00","$54,302.00","$3,038.00","","",100%,94%,176,352,216,477,180,258,$264.00 below,$0.00 below,Off,0.0%,0,0,"","","","","",""
2026,BMW,X5,xDrive40i,AWD,SUV,No,"",B35565,5UX23EU05T9165192,Green,11,https://cdn.max.auto/102612/5UX23EU05T9165192/68b0dc29085a2841a9f9a4dd.jpg,S,,"",49,0,0,0,4,4,Retail,Blue,"$77,625.00","","$77,625.00","$73,162.00","$4,463.00","","",99%,93%,68,174,94,347,53,62,"$1,162.00 below",$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,X3,30 xDrive,AWD,SUV,No,"",B35569,5UX53GP07T9164842,Green,13,https://cdn.max.auto/102612/5UX53GP07T9164842/68b0dc2b085a2841a9f9b141.jpg,S,,"",49,0,0,0,1,3,Retail,White,"$58,240.00","","$58,240.00","$55,137.00","$3,103.00","","",101%,96%,224,352,281,477,180,258,$636.00 above,$0.00 below,On,0.0%,0,0,"","","","","",""
2022,BMW,2 Series,M235i xDrive,AWD,Sedan,Yes,BMW Certified Pre-Owned (CPOV),BN28884,WBA13AL01N7L29623,Red,20,https://cdn.max.auto/102612/WBA13AL01N7L29623/68ae43ab085a2841a9c2d438.jpg,S,Oil Change|BMW CPO,"",51,1,0.1,0,2,"15,161",Retail,White,"$37,548.00",2025-10-13T07:09:00.000Z,"","$37,493.31",$54.69,"$31,225.00","$35,300.00","","","","","","","","","","",On,4.1%,"7,361",305,"$32,100.00","-$5,393.31","$30,625.00","-$6,868.31","$3,752.00 below",$355.00 below
2024,BMW,X5,xDrive40i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),BL34265A,5UX23EU02R9S43307,Green,20,https://cdn.max.auto/102612/5UX23EU02R9S43307/68b5f0d9085a2841a98b3cdf.jpg,S,Oil Change|BMW CPO,"",51,0,0,1,2,"25,129",Retail,Black,"$59,998.00",2025-10-03T10:16:00.000Z,"","$60,116.28",-$118.28,"$51,625.00","$59,800.00",100%,100%,17,34,73,114,59,46,$199.00 below,"",On,3.4%,"6,263",212,"$49,700.00","-$10,416.28","$47,250.00","-$12,866.28",$302.00 below,"$2,460.00 above"
2025,BMW,3 Series,330i xDrive,AWD,Sedan,Yes,BMW Certified Pre-Owned (CPOV),BL34247,3MW89CW02S8F13130,Green,20,https://cdn.max.auto/102612/3MW89CW02S8F13130/68b0a052085a2841a9fddc47.jpg,S,Oil Change|BMW CPO,"",49,1,0.1,1,6,"6,317",Retail,Black,"$46,798.00",2025-10-06T07:29:00.000Z,"","$42,955.84","$3,842.16","$36,475.00","$46,250.00",101%,93%,10,16,51,287,48,53,$637.00 above,"",On,1.0%,"15,112",154,"$40,200.00","-$2,755.84","$34,650.00","-$8,305.84",$427.00 below,$659.00 above
2025,BMW,i5,xDrive40,AWD,Sedan,Yes,BMW Certified Pre-Owned (CPOV),BL34276,WBY13HG05SCT09057,Green,20,https://cdn.max.auto/102612/WBY13HG05SCT09057/68af64ad085a2841a9bfbce6.jpg,S,Non-Smoker|BMW CPO,"",49,0,0,0,5,"5,289",Retail,Green,"$65,998.00",2025-10-06T14:04:00.000Z,"","$59,103.07","$6,894.93","$46,225.00","$64,775.00",97%,87%,4,10,18,51,41,82,"$2,095.00 below","",On,1.1%,"8,899",98,"$50,300.00","-$8,803.07","$49,450.00","-$9,653.07","$3,798.00 above",""
2025,BMW,X1,xDrive28i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),BL34363,WBX73EF08S5138761,Green,20,https://cdn.max.auto/102612/WBX73EF08S5138761/68b0a052085a2841a9fdda47.jpg,S,Oil Change|BMW CPO,"",49,0,0,0,2,"8,052",Retail,Green,"$40,798.00",2025-10-13T07:14:00.000Z,"","$37,786.42","$3,011.58","$35,350.00","$40,900.00",97%,89%,1,14,8,40,72,66,"$1,468.00 below","",On,1.8%,"16,188",285,"$35,400.00","-$2,386.42","$31,000.00","-$6,786.42","$3,352.00 below","$2,304.00 above"
2022,BMW,X7,xDrive40i,AWD,SUV,No,"",BL34340A,5UXCW2C00N9L66481,Yellow,20,https://cdn.max.auto/102612/5UXCW2C00N9L66481/68b9fe3b085a2841a97950e1.jpg,S,,"",50,0,0,0,1,"94,045",Retail,White,"$39,698.00",2025-10-06T14:03:00.000Z,"","$39,097.17",$600.83,"$31,200.00","$36,125.00","","","","","","","","","","",On,2.2%,"2,291",50,"$31,500.00","-$7,597.17","$33,750.00","-$5,347.17","$6,877.00 below",$904.00 above
2025,BMW,X1,xDrive28i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),BL34305,WBX73EF0XS5142830,Green,20,https://cdn.max.auto/102612/WBX73EF0XS5142830/68b0a06e085a2841a9fe444e.jpg,S,Oil Change|BMW CPO,"",48,0,0,0,2,"7,251",Retail,Green,"$41,898.00",2025-10-13T07:26:00.000Z,"","$39,086.42","$2,811.58","$35,625.00","$40,975.00",100%,93%,4,7,96,422,35,26,$12.00 below,"",On,0.8%,"5,766",49,"$35,700.00","-$3,386.42","$31,250.00","-$7,836.42","$2,252.00 below","$3,310.00 above"
2025,BMW,X3,M50 xDrive,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),B35406A,5UX73GP09S9003125,Green,20,https://cdn.max.auto/102612/5UX73GP09S9003125/68b7114b085a2841a908e4f3.jpg,S,Oil Change|BMW CPO,"",48,1,0.1,1,4,"2,749",Retail,Blue,"$63,998.00",2025-10-06T14:04:00.000Z,"","$61,943.32","$2,054.68","$55,125.00","$63,300.00",98%,95%,16,31,1322,1383,26,62,"$1,462.00 below","",On,3.4%,"14,101",476,"$57,200.00","-$4,743.32","$55,800.00","-$6,143.32","$4,677.00 below","$2,395.00 below"
2024,Toyota,bZ4X,XLE,AWD,SUV,No,"",B35406B,JTMABACA5RA090407,Yellow,20,https://cdn.max.auto/102612/JTMABACA5RA090407/68b7114b085a2841a908e71e.jpg,S,Oil Change,"",48,1,0.1,1,2,"7,337",Retail,White,"$26,398.00",2025-10-06T07:14:00.000Z,"","$24,628.17","$1,769.83","$19,350.00","$24,950.00",92%,86%,4,11,16,46,30,40,"$2,264.00 below","",On,4.1%,"3,671",152,"$22,500.00","-$2,128.17","$18,500.00","-$6,128.17","$1,552.00 below","$1,003.00 above"
2025,BMW,2 Series,M240i xDrive,AWD,Coupe,No,"",B35589,3MW53CM08S8F74943,Green,13,https://cdn.max.auto/102612/3MW53CM08S8F74943/68b0845a085a2841a9900709.jpg,S,,"",47,0,0,0,2,11,Retail,Black,"$63,105.00","","$63,105.00","$59,667.00","$3,438.00","","",104%,98%,11,11,73,73,88,47,"$2,409.00 above",$0.00 below,On,7.9%,"3,556",282,"","","","","",""
2026,BMW,X1,xDrive28i,AWD,SUV,No,"",B35591,WBX73EF02T5423750,Green,13,https://cdn.max.auto/102612/WBX73EF02T5423750/68b1e049085a2841a9ab2245.jpg,S,,"",47,0,0,0,0,7,Retail,White,"$47,355.00","","$47,355.00","$45,017.00","$2,338.00","","",97%,92%,19,126,23,169,190,298,"$1,634.00 below",$0.00 below,On,0.0%,0,0,"","","","","",""
2022,Ford,Bronco Sport,Badlands,4WD,SUV,No,"",B35540A,3FMCR9D9XNRE21114,Yellow,20,https://cdn.max.auto/102612/3FMCR9D9XNRE21114/68b358a1085a2841a9f7d270.jpg,S,Oil Change,"",47,0,0,0,3,"23,594",Retail,Black,"$27,998.00",2025-10-07T05:45:00.000Z,"","$24,999.39","$2,998.61","$25,350.00","$27,900.00",94%,84%,8,22,413,483,48,68,"$1,859.00 below","",On,2.0%,"14,321",290,"$25,100.00",$100.61,"$23,650.00","-$1,349.39","$3,602.00 below",$349.00 below
2024,Audi,A5 Sportback,S line Premium,AWD,Sedan,No,"",B35353A,WAUDACF5XRA101022,Yellow,20,https://cdn.max.auto/102612/WAUDACF5XRA101022/68b358a1085a2841a9f7d350.jpg,S,Oil Change,"",47,1,0.1,1,1,"18,939",Retail,Blue,"$35,798.00",2025-10-07T05:46:00.000Z,"","$34,856.99",$941.01,"$32,400.00","$36,300.00","","","","","","","","","","",On,3.6%,"20,688",755,"$31,200.00","-$3,656.99","$30,850.00","-$4,006.99","$3,002.00 below","$1,336.00 above"
2026,BMW,X1,xDrive28i,AWD,SUV,No,"",B35564,WBX73EF09T5423728,Green,11,https://cdn.max.auto/102612/WBX73EF09T5423728/68b0dc2b085a2841a9f9b443.jpg,S,,"",47,0,0,0,0,11,Retail,Gray,"$47,755.00","","$47,755.00","$45,387.00","$2,368.00","","",97%,93%,41,126,47,169,190,298,"$1,234.00 below",$0.00 below,On,0.0%,0,0,"","","","","",""
